gene_name,gene_id,lsv_id,mean_dpsi_per_lsv_junction,probability_changing,probability_non_changing,ControlControl_mean_psi,ControlTDP43KD_mean_psi,lsv_type,num_junctions,num_exons,de_novo_junctions,seqid,strand,junctions_coords,exons_coords,ir_coords,ucsc_lsv_link
UNKL,ENSG00000059145.19,ENSG00000059145.19:s:1414615-1414751,-0.1614;0.0430;0.0815,7.023e-01;1.656e-01;3.954e-01,2.313e-02;2.685e-01;1.064e-01,0.9555;0.0087;0.0356,0.7492;0.0795;0.1551,s|1e1.1o2|1e1.2o2|1e2.1o1,3,3,0;0;1,chr16,-,1414055-1414615;1414009-1414615;1403344-1414615,1403208-1403344;1413846-1414078;1414615-1414751,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A1414751-1403208
WNK1,ENSG00000060237.19,ENSG00000060237.19:s:877094-878361,0.1419;-0.0907;-0.0281,8.365e-01;4.366e-01;4.827e-02,4.782e-03;9.839e-02;4.549e-01,0.1365;0.5913;0.2691,0.2752;0.4982;0.2304,s|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;0,chr12,+,878361-879573;878361-880721;878361-881692,877094-878361;879573-880031;880721-880999;881471-881789,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A881789-877094
WNK1,ENSG00000060237.19,ENSG00000060237.19:s:879573-880031,-0.1297;0.1297,7.516e-01;7.516e-01,1.091e-02;1.091e-02,0.9810;0.0190,0.8437;0.1563,s|1e1.1o1|1e2.1o1,2,3,0;1,chr12,+,880031-880721;880031-881692,879573-880031;880721-880999;881471-881789,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A881789-879573
WNK1,ENSG00000060237.19,ENSG00000060237.19:t:880721-880999,-0.1043;0.1043,5.489e-01;5.489e-01,5.368e-02;5.368e-02,0.8176;0.1824,0.7061;0.2939,t|1e1.1o1|1e2.1o1,2,3,0;0,chr12,+,878361-880721;880031-880721,877094-878361;879573-880031;880721-880999,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A880999-877094
RIMBP2,ENSG00000060709.15,ENSG00000060709.15:s:130399679-130399813,0.1826;0.0056;-0.1427;-0.0141;-0.0395,9.319e-01;1.675e-05;8.144e-01;7.319e-03;1.263e-01,2.619e-03;8.219e-01;1.037e-02;6.228e-01;3.135e-01,0.3844;0.0006;0.2335;0.1083;0.2686,0.5768;0.0398;0.0898;0.0844;0.2052,s|1e1.1o4|1e1.2o4|1e1.3o4|1e1.4o4|i,5,2,0;1;0;1;1,chr12,-,130399161-130399679;130399158-130399679;130397549-130399679;130397303-130399679;130399162-130399678,130396137-130399161;130399679-130399813,130399162-130399678,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A130399813-130396137
RIMBP2,ENSG00000060709.15,ENSG00000060709.15:s:130434734-130434880,-0.1057;0.0058;0.0927;-0.0000;0.0000,5.475e-01;2.834e-03;4.630e-01;6.902e-21;6.901e-21,6.365e-02;7.826e-01;8.427e-02;9.999e-01;1.000e+00,0.4499;0.1182;0.4074;0.0196;0.0039,0.3382;0.1335;0.5071;0.0149;0.0044,s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1|i,5,4,1;0;0;1;1,chr12,-,130432321-130434734;130432273-130434734;130428337-130434734;130422561-130434734;130432322-130434733,130422283-130422561;130428179-130428337;130431647-130432321;130434734-130434880,130432322-130434733,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A130434880-130422283
RIMBP2,ENSG00000060709.15,ENSG00000060709.15:s:130470202-130470743,-0.2004;0.2004,9.744e-01;9.744e-01,3.028e-04;3.028e-04,0.2899;0.7101,0.0933;0.9067,s|1e1.1o1|1e2.1o1,2,3,0;0,chr12,-,130469169-130470693;130456700-130470693,130456496-130456700;130469020-130469169;130470202-130470743,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A130470743-130456496
RIMBP2,ENSG00000060709.15,ENSG00000060709.15:t:130456496-130456700,-0.0000;0.1667;-0.0000;-0.0000;-0.1556,7.062e-21;9.275e-01;7.070e-21;7.062e-21;8.708e-01,1.000e+00;1.305e-03;9.992e-01;1.000e+00;4.426e-03,0.0071;0.7625;0.0191;0.0110;0.1976,0.0105;0.9319;0.0080;0.0052;0.0446,t|1e1.1o1|1e2.1o1|1e3.1o3|1e3.2o3|1e3.3o3,5,4,0;0;0;1;0,chr12,-,130456700-130478912;130456700-130470693;130456700-130469149;130456700-130469095;130456700-130469020,130456496-130456700;130469020-130469169;130470202-130470743;130478912-130479016,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A130479016-130456496
ELMO2,ENSG00000062598.18,ENSG00000062598.18:t:46394308-46394532,0.0286;-0.1890;0.0203;0.1077,1.097e-01;8.902e-01;4.138e-02;5.487e-01,3.441e-01;5.828e-03;4.933e-01;6.224e-02,0.2033;0.6143;0.0835;0.0893,0.2545;0.4130;0.1249;0.2092,t|1e1.1o1|1e2.1o1|2e1.1o1|2e2.1o1,4,3,0;0;0;0,chr20,-,46394532-46406548;46394532-46398697;46394503-46406548;46394503-46398697,46394308-46394532;46398697-46398771;46406548-46406632,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr20%3A46406632-46394308
MTMR1,ENSG00000063601.17,ENSG00000063601.17:s:150750730-150750843,0.1776;-0.2014;0.0039,8.151e-01;8.793e-01;1.914e-03,1.265e-02;6.446e-03;8.498e-01,0.0712;0.9253;0.0053,0.2834;0.6868;0.0267,s|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;1,chrX,+,150750843-150751030;150750843-150755689;150750843-150762565,150750730-150750843;150751030-150751289;150755689-150755865;150762565-150762737,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A150762737-150750730
HIPK2,ENSG00000064393.16,ENSG00000064393.16:s:139620401-139620563,0.2303;-0.2303,9.720e-01;9.720e-01,1.097e-03;1.097e-03,0.3345;0.6655,0.5688;0.4312,s|1e1.1o2|1e1.2o2,2,2,0;0,chr7,-,139614493-139620401;139614412-139620401,139614286-139614493;139620401-139620563,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A139620563-139614286
ZNF76,ENSG00000065029.15,ENSG00000065029.15:t:35294456-35294976,0.1205;-0.1205,5.871e-01;5.871e-01,4.731e-02;4.731e-02,0.4563;0.5437,0.5957;0.4043,t|1e1.1o1|1e2.1o1,2,3,0;0,chr6,+,35293044-35294456;35293915-35294456,35292881-35293044;35293751-35293915;35294456-35294976,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A35294976-35292881
DIP2B,ENSG00000066084.13,ENSG00000066084.13:s:50675329-50675451,-0.1715;0.1715,8.972e-01;8.972e-01,5.202e-03;5.202e-03,0.8881;0.1119,0.7140;0.2860,s|1e1.1o1|2e1.1o1,2,2,0;1,chr12,+,50675448-50678679;50675451-50678679,50675329-50675451;50678679-50680282,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A50680282-50675329
NEO1,ENSG00000067141.17,ENSG00000067141.17:s:73266316-73266411,-0.3575;0.3575,1.000e+00;1.000e+00,2.188e-13;1.986e-13,0.4304;0.5696,0.0747;0.9253,s|1e1.1o2|1e1.2o2,2,2,0;0,chr15,+,73266411-73270010;73266411-73270058,73266316-73266411;73270010-73270233,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr15%3A73270233-73266316
NEO1,ENSG00000067141.17,ENSG00000067141.17:t:73236287-73236506,0.2369;0.0000;-0.2367;0.0000;0.0000,9.943e-01;7.062e-21;9.942e-01;7.062e-21;7.062e-21,3.257e-05;1.000e+00;3.294e-05;1.000e+00;1.000e+00,0.2626;0.0004;0.7361;0.0004;0.0004,0.4987;0.0004;0.5002;0.0004;0.0004,t|1e2.1o1|2e1.1o1|2e2.1o1|2e3.1o1|2e4.1o1,5,5,0;1;0;0;0,chr15,+,73178427-73236287;73136027-73236347;73178427-73236347;73221735-73236347;73222087-73236347,73135891-73136027;73178307-73178427;73221693-73221735;73221919-73222087;73236287-73236506,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr15%3A73236506-73135891
SYT1,ENSG00000067715.14,ENSG00000067715.14:s:78926597-78926720,0.1851;0.0159;-0.1988,7.657e-01;1.183e-01;7.557e-01,1.452e-02;3.320e-01;1.321e-02,0.1194;0.0980;0.7656,0.3542;0.1338;0.5170,s|1e1.1o1|1e2.1o1|1e3.1o1,3,4,1;0;1,chr12,+,78926720-78927263;78926720-78955462;78926720-78977799,78926597-78926720;78927263-na;78955462-78955566;78977522-78977931,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A78977931-78926597
PLEKHH3,ENSG00000068137.15,ENSG00000068137.15:s:42673170-42673320,-0.0321;0.1150;-0.0471,3.037e-02;6.223e-01;1.408e-01,4.801e-01;4.313e-02;2.849e-01,0.0638;0.8256;0.1067,0.0064;0.9517;0.0380,s|1e1.1o3|1e1.2o3|1e1.3o3,3,2,1;0;0,chr17,-,42672447-42673176;42672392-42673176;42672212-42673176,42672086-42672447;42673170-42673320,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A42673320-42672086
RAB27A,ENSG00000069974.16,ENSG00000069974.16:s:55289716-55289813,-0.1025;0.1025,5.216e-01;5.216e-01,6.813e-02;6.813e-02,0.9708;0.0292,0.8523;0.1477,s|1e1.1o1|1e2.1o1,2,3,0;1,chr15,-,55270284-55289716;55234956-55289716,55234782-55234956;55269794-55270394;55289716-55289813,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr15%3A55289813-55234782
RAB27A,ENSG00000069974.16,ENSG00000069974.16:t:55234782-55234956,0.1776;-0.2356;0.0006;0.0000;0.0076;0.0000,8.435e-01;9.602e-01;1.209e-04;3.698e-07;5.849e-03;3.698e-07,8.606e-03;1.062e-03;9.729e-01;9.996e-01;7.545e-01;9.996e-01,0.0288;0.9652;0.0015;0.0015;0.0015;0.0015,0.2086;0.7319;0.0127;0.0018;0.0428;0.0018,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1,6,7,1;0;0;0;0;0,chr15,-,55234956-55289716;55234956-55270165;55234956-55259921;55234956-55248952;55234956-55238403;55234956-55237316,55234782-55234956;55237316-55237442;55238118-55238491;55248952-55249035;55259921-55260023;55269794-55270394;55289716-55289813,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr15%3A55289813-55234782
TMEM260,ENSG00000070269.14,ENSG00000070269.14:t:56625382-56625530,0.1998;-0.1998,8.601e-01;8.601e-01,7.496e-03;7.496e-03,0.0864;0.9136,0.3144;0.6856,t|1e1.1o1|1e2.1o1,2,3,0;0,chr14,+,56618763-56625382;56621702-56625382,56618594-56618763;56621531-56621702;56625382-56625530,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr14%3A56625530-56618594
MAP4K4,ENSG00000071054.16,ENSG00000071054.16:s:101860825-101862240,-0.1695;-0.0000;0.1753,9.705e-01;7.062e-21;9.636e-01,1.222e-04;1.000e+00;2.174e-04,0.2926;0.0124;0.6914,0.1221;0.0106;0.8664,s|1e1.1o2|1e1.2o2|1e2.1o1,3,3,0;1;0,chr2,+,101860986-101863821;101860986-101863827;101860986-101864930,101860825-101862240;101863821-101864051;101864930-101865036,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A101865036-101860825
MAP4K4,ENSG00000071054.16,ENSG00000071054.16:t:101864930-101865036,0.0000;0.0224;0.1292;-0.1799,7.062e-21;2.274e-02;7.578e-01;9.774e-01,1.000e+00;5.310e-01;1.794e-02;1.610e-06,0.0083;0.2841;0.4353;0.2732,0.0225;0.3113;0.5674;0.0959,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1,4,5,1;0;0;0,chr2,+,101856138-101864930;101859864-101864930;101860986-101864930;101864051-101864930,101855977-101856138;101859643-101859864;101860825-101862240;101863821-101864051;101864930-101865036,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A101865036-101855977
SMC1A,ENSG00000072501.19,ENSG00000072501.19:s:53422492-53422728,-0.0246;0.1016;-0.0693,1.085e-07;5.333e-01;2.008e-01,5.832e-01;2.913e-02;2.282e-01,0.0545;0.8176;0.1270,0.0280;0.9160;0.0543,s|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;0,chrX,-,53422040-53422492;53415169-53422492;53413435-53422492,53413232-53413435;53414981-53415169;53421895-53422173;53422492-53422728,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A53422728-53413232
MARK2,ENSG00000072518.22,ENSG00000072518.22:s:63904786-63905043,0.1172;-0.0884;-0.0131,6.369e-01;4.293e-01;3.259e-02,2.556e-02;1.027e-01;5.722e-01,0.0598;0.8554;0.0811,0.1835;0.7575;0.0580,s|1e1.1o1|1e2.1o1|1e3.1o2,3,4,0;0;0,chr11,+,63905043-63906088;63905043-63908260;63905043-63908877,63904786-63905043;63906088-63907567;63908260-63908304;63908877-63911020,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A63911020-63904786
MARK2,ENSG00000072518.22,ENSG00000072518.22:t:63908260-63908304,-0.1294;0.1296;0.0000,7.462e-01;7.491e-01;7.062e-21,1.967e-02;1.930e-02;1.000e+00,0.9577;0.0416;0.0007,0.8312;0.1682;0.0006,t|1e1.1o1|1e2.1o2|1e2.2o2,3,3,0;0;0,chr11,+,63905043-63908260;63906114-63908260;63907567-63908260,63904786-63905043;63906088-63907567;63908260-63908304,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A63908304-63904786
CHFR,ENSG00000072609.18,ENSG00000072609.18:s:132870724-132870783,0.0382;-0.1041;-0.0000;0.0000;0.0555,1.387e-01;5.366e-01;7.069e-21;7.062e-21;1.939e-01,2.990e-01;6.481e-02;9.993e-01;1.000e+00;2.385e-01,0.3461;0.5117;0.0167;0.0005;0.1150,0.4076;0.3917;0.0080;0.0005;0.1929,s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1,5,5,0;0;0;0;0,chr12,-,132869834-132870724;132869798-132870724;132869675-132870724;132862425-132870724;132861634-132870724,132861467-132861904;132862333-132862425;132869619-132869675;132869724-132869834;132870724-132870783,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A132870783-132861467
CHFR,ENSG00000072609.18,ENSG00000072609.18:s:132945477-132945797,-0.1299;-0.0001;0.1274,6.724e-01;3.207e-05;6.585e-01,3.315e-02;9.927e-01;3.593e-02,0.9880;0.0060;0.0060,0.8242;0.0046;0.1712,s|1e1.1o1|1e2.1o1|2e1.1o1,3,3,1;0;1,chr12,-,132943022-132945621;132877654-132945621;132943022-132945477,na-132943022;132877555-132877654;132945477-132945797,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A132945797-132877555
CHFR,ENSG00000072609.18,ENSG00000072609.18:t:132945477-132945797,-0.1877;0.1877,8.233e-01;8.233e-01,1.069e-02;1.069e-02,0.9191;0.0809,0.7079;0.2921,t|1e1.1o1|1e2.1o1,2,3,0;1,chr12,-,132945797-132956243;132945797-132955762,132945477-132945797;132955762-na;132956243-132956304,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A132956304-132945477
TRNT1,ENSG00000072756.17,ENSG00000072756.17:t:3150540-3150879,-0.0001;-0.1098;0.1141,1.955e-05;5.258e-01;5.426e-01,9.905e-01;5.722e-02;5.271e-02,0.0107;0.3764;0.6095,0.0051;0.2285;0.7669,t|1e1.1o1|1e2.1o1|i,3,3,1;0;1,chr3,+,3148187-3150540;3149233-3150540;3149234-3150539,3147906-3149023;3149094-3149233;3150540-3150879,3149234-3150539,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A3150879-3147906
FBXW11,ENSG00000072803.18,ENSG00000072803.18:s:171996890-171997051,0.0303;0.0971;-0.1595,5.296e-02;4.626e-01;7.410e-01,4.446e-01;7.711e-02;2.075e-02,0.0132;0.3468;0.6327,0.0658;0.4703;0.4522,s|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;0,chr5,-,171957698-171996890;171914405-171996890;171910797-171996890,171910572-171910797;171914343-171914405;171957597-171957698;171996890-171997051,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr5%3A171997051-171910572
FBXW11,ENSG00000072803.18,ENSG00000072803.18:t:171914343-171914405,0.1017;0.0324;0.0000;-0.1645,5.118e-01;1.520e-01;7.062e-21;8.306e-01,6.853e-02;2.866e-01;1.000e+00;1.175e-02,0.5115;0.2556;0.0010;0.2382,0.6319;0.2958;0.0011;0.0600,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1,4,5,0;0;0;0,chr5,-,171914405-172006458;171914405-171996890;171914405-171977636;171914405-171957597,171914343-171914405;171957597-171957698;171977636-171977756;171996890-171997051;172006458-172006873,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr5%3A172006873-171914343
CDHR2,ENSG00000074276.10,ENSG00000074276.10:s:176591990-176592187,-0.0002;0.0000;0.0385;-0.1637;0.0000;0.1535,4.814e-08;6.901e-21;4.783e-02;9.451e-01;6.901e-21;8.427e-01,9.907e-01;1.000e+00;4.300e-01;6.108e-05;1.000e+00;1.026e-02,0.0227;0.0005;0.0192;0.1905;0.0005;0.7646,0.0005;0.0005;0.0738;0.0005;0.0005;0.9243,s|1e3.1o1|2e1.1o2|3e1.2o2|4e2.1o1|4e3.1o1|i,6,4,1;1;1;1;1;1,chr5,+,176592125-176592333;176592134-176592188;176592138-176592225;176592187-176592268;176592187-176592333;176592188-176592187,176591990-176592187;176592188-176592267;176592268-176592332;176592333-176592418,176592188-176592187,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr5%3A176592418-176591990
CDHR2,ENSG00000074276.10,ENSG00000074276.10:s:176592333-176592418,0.0242;0.0728;-0.1368,4.890e-02;2.333e-01;7.655e-01,4.665e-01;1.988e-01;1.643e-02,0.1428;0.0011;0.8562,0.1869;0.1015;0.7106,s|1e1.1o3|1e1.2o3|i,3,2,1;1;1,chr5,+,176592418-176592479;176592418-176592544;176592419-176592418,176592333-176592418;176592419-176592478;176592479-176592780,176592419-176592418,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr5%3A176592780-176592333
CDHR2,ENSG00000074276.10,ENSG00000074276.10:t:176591910-176591989,0.1019;0.0003;-0.1317,5.244e-01;1.286e-08;7.460e-01,7.068e-02;9.857e-01;1.733e-02,0.0508;0.0012;0.9480,0.1575;0.0292;0.8135,t|1e1.1o1|1e2.1o3|i,3,3,1;1;1,chr5,+,176591803-176591910;176591871-176591910;176591910-176591909,176591788-176591803;176591857-176591909;176591910-176591989,176591910-176591909,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr5%3A176591989-176591788
CDHR2,ENSG00000074276.10,ENSG00000074276.10:t:176592268-176592332,0.0329;0.0339;-0.1654;0.0662,3.588e-02;9.970e-03;9.513e-01;2.783e-01,4.638e-01;5.126e-01;4.943e-05;1.766e-01,0.0349;0.0007;0.1917;0.7742,0.0781;0.0651;0.0006;0.8524,t|1e1.1o1|1e2.1o1|1e3.4o4|i,4,4,1;1;1;1,chr5,+,176591803-176592268;176591989-176592268;176592187-176592268;176592268-176592267,176591788-176591803;176591910-176591989;176591990-176592187;176592188-176592267;176592268-176592332,176592268-176592267,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr5%3A176592332-176591788
BCS1L,ENSG00000074582.15,ENSG00000074582.15:s:218659656-218659743,0.1685;-0.0024;-0.1023;-0.0267;-0.0040,7.814e-01;1.234e-02;4.927e-01;4.129e-02;1.349e-03,1.589e-02;6.292e-01;6.902e-02;4.762e-01;7.735e-01,0.3000;0.0705;0.5241;0.0633;0.0412,0.4669;0.0599;0.4031;0.0190;0.0346,s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1,5,6,0;0;0;0;1,chr2,+,218659743-218660037;218659743-218660307;218659743-218660939;218659743-218661406;218659743-218661759,218659656-218659743;218660037-218660245;218660307-218660598;218660867-218661307;218661406-218661545;218661666-218661916,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A218661916-218659656
BCS1L,ENSG00000074582.15,ENSG00000074582.15:t:218660867-218661307,0.0000;0.0000;-0.0633;-0.0293;-0.0285;0.0000;-0.0054;0.0050;-0.0001;0.1557,6.902e-21;6.901e-21;2.916e-01;5.516e-02;6.479e-02;6.901e-21;2.917e-04;4.431e-03;1.331e-07;7.931e-01,9.999e-01;1.000e+00;1.636e-01;4.375e-01;4.208e-01;1.000e+00;7.452e-01;7.101e-01;9.886e-01;1.560e-02,0.0034;0.0003;0.3185;0.0836;0.1003;0.0003;0.0447;0.0853;0.0210;0.3349,0.0073;0.0003;0.2444;0.0428;0.0546;0.0003;0.0370;0.0939;0.0178;0.5096,t|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o3|1e5.2o3|1e5.3o3|1e6.1o2|1e6.2o2|i,10,7,0;0;0;0;0;0;0;0;0;1,chr2,+,218659173-218660939;218659523-218660939;218659743-218660939;218659800-218660939;218660166-218660939;218660218-218660939;218660245-218660939;218660421-218660939;218660482-218660939;218660599-218660866,218658764-218659173;218659369-218659523;218659656-218659743;218659760-218659800;218660037-218660245;218660307-218660598;218660867-218661307,218660599-218660866,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A218661307-218658764
KCNQ2,ENSG00000075043.20,ENSG00000075043.20:s:63444659-63444834,-0.0000;-0.2141;0.2139,7.062e-21;1.000e+00;1.000e+00,1.000e+00;0.000e+00;2.752e-20,0.0111;0.9885;0.0004,0.0003;0.7643;0.2355,s|1e1.1o1|1e2.1o1|1e3.2o2,3,4,0;0;1,chr20,-,63443752-63444659;63442531-63444659;63439708-63444659,63439598-63439790;63442406-63442531;63443631-63443752;63444659-63444834,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr20%3A63444834-63439598
KCNQ2,ENSG00000075043.20,ENSG00000075043.20:t:63439598-63439790,0.0000;0.0000;0.1518;-0.1838;0.0000,6.901e-21;6.901e-21;9.688e-01;9.993e-01;6.901e-21,1.000e+00;1.000e+00;4.628e-13;5.199e-09;1.000e+00,0.0113;0.0031;0.0002;0.9695;0.0157,0.0076;0.0108;0.1709;0.7945;0.0143,t|1e3.1o1|2e1.1o1|2e2.1o1|2e3.1o1|i,5,4,0;1;1;0;1,chr20,-,63439790-63442406;63439708-63472168;63439708-63444659;63439708-63442406;63439791-63442405,63439598-63439790;63442406-63442531;63444659-63444834;63472168-63472677,63439791-63442405,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr20%3A63472677-63439598
EIF4G3,ENSG00000075151.23,ENSG00000075151.23:s:20969474-20969596,0.0000;0.1164;-0.1352;0.0000;0.0000,7.064e-21;6.243e-01;7.480e-01;7.064e-21;7.062e-21,9.997e-01;4.187e-02;1.937e-02;9.998e-01;1.000e+00,0.0003;0.4341;0.5480;0.0165;0.0031,0.0186;0.5570;0.4068;0.0174;0.0003,s|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1|1e4.1o1,5,5,1;0;0;1;1,chr1,-,20965744-20969474;20950111-20969474;20950108-20969474;20942330-20969474;20904971-20969474,na-20965744;20904883-20904971;20941491-20942330;20950003-20950111;20969474-20969596,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A20969596-20904883
EIF4G3,ENSG00000075151.23,ENSG00000075151.23:t:20981048-20981227,0.0182;-0.1449;0.0140;0.1139;0.0000,6.283e-05;8.484e-01;6.424e-03;6.459e-01;7.062e-21,6.220e-01;5.442e-03;6.213e-01;8.376e-03;1.000e+00,0.0391;0.8312;0.0951;0.0305;0.0016,0.0584;0.6871;0.1112;0.1357;0.0015,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1,5,6,1;0;0;0;0,chr1,-,20981227-21050866;20981227-21002713;20981227-21001199;20981227-20997601;20981227-20982388,20981048-20981227;20982388-20982445;20997601-20997633;21001199-21001324;21002713-21002808;21050866-21050994,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A21050994-20981048
GRAMD4,ENSG00000075240.17,ENSG00000075240.17:t:46626751-46626961,-0.1364;0.1719;0.0000;-0.0004;-0.0002;-0.0001,6.786e-01;8.262e-01;7.535e-10;7.737e-06;1.759e-06;3.190e-07,3.208e-02;1.179e-02;1.000e+00;9.829e-01;9.912e-01;9.977e-01,0.3438;0.6167;0.0010;0.0183;0.0136;0.0069,0.1950;0.7987;0.0011;0.0011;0.0066;0.0011,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1,6,7,0;0;1;1;1;0,chr22,+,46576078-46626751;46577290-46626751;46613510-46626751;46620091-46626751;46620360-46626751;46620565-46626751,na-46613510;na-46620091;na-46620360;46576012-46576078;46577129-46577290;46620386-46620565;46626751-46626961,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr22%3A46626961-46576012
FRYL,ENSG00000075539.15,ENSG00000075539.15:s:48505547-48506612,0.1685;-0.1685,8.099e-01;8.099e-01,1.334e-02;1.334e-02,0.1636;0.8364,0.3421;0.6579,s|1e1.1o1|1e2.1o1,2,3,0;0,chr4,-,48502845-48505547;48501733-48505547,48501623-48501733;48502828-48502845;48505547-48506612,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr4%3A48506612-48501623
FRYL,ENSG00000075539.15,ENSG00000075539.15:t:48501623-48501733,-0.1231;0.1231,6.321e-01;6.321e-01,4.202e-02;4.202e-02,0.8633;0.1367,0.7185;0.2815,t|1e1.1o1|1e2.1o1,2,3,0;0,chr4,-,48501733-48505547;48501733-48502828,48501623-48501733;48502828-48502845;48505547-48506612,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr4%3A48506612-48501623
BCAP29,ENSG00000075790.12,ENSG00000075790.12:t:107621630-107621953,0.0571;0.0218;-0.1033,2.451e-01;2.926e-02;5.375e-01,1.945e-01;5.255e-01;6.423e-02,0.5608;0.0687;0.3675,0.6382;0.1078;0.2451,t|1e1.1o1|1e2.1o1|i,3,3,0;1;1,chr7,+,107613432-107621630;107613732-107621630;107620479-107621629,107613332-107613433;107613654-107613732;107621630-107621953,107620479-107621629,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A107621953-107613332
PTPN23,ENSG00000076201.16,ENSG00000076201.16:s:47396143-47396291,0.1479;-0.1479,8.418e-01;8.418e-01,8.473e-03;8.473e-03,0.7661;0.2339,0.9189;0.0811,s|1e1.1o1|1e2.1o1,2,3,0;0,chr3,+,47396217-47404652;47396217-47405005,47396143-47396291;47404652-47404779;47405005-47405081,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A47405081-47396143
